object_id,post_id,ms_space_num,active_meter_flag,reason_code,cap_color,work_order,meter_status,is_active,is_temporary,shape,meter_type_id,street_type_id,location_id,district_id,street_id,route_id,vendor_id,zone_id
184049,903-00120,0,M,-,Grey,,Active,1,0,POINT (-122.466067901 37.782465801),2,2,29893,279,108.0,359,3,62
176792,464-05130,0,U,U5,Grey,,Unmetered,0,0,POINT (-122.425131099 37.776546602),2,1,29894,257,464.0,739,2,51
175353,568-26090,0,M,-,Grey,,Active,1,0,POINT (-122.418626502 37.755132801),2,1,29895,186,568.0,447,2,6
185811,462-00070,0,U,U8,-,,Unmetered,0,0,POINT (-122.422635499 37.773037898),1,1,29896,273,462.0,739,1,10
175323,336-07067,7,M,-,Black,,Active,1,0,POINT (-122.409713197 37.790107901),3,1,29897,220,336.0,879,4,78
179119,650-36330,0,M,-,Grey,,Active,1,0,POINT (-122.453208502 37.787340297),2,1,29898,232,650.0,329,3,55
174642,330-02960,0,U,U9,Grey,,Unmetered,0,0,POINT (-122.392007801 37.782016202),2,1,29899,267,330.0,739,2,44
175585,223-32360,0,M,-,Grey,,Active,1,0,POINT (-122.4178841 37.753926097),2,1,29900,186,223.0,447,2,6
176924,440-34090,0,M,-,Green,,Active,1,0,POINT (-122.455646999 37.781272397),2,1,29901,193,440.0,518,2,36
181912,224-31610,0,M,-,Black,,Active,1,0,POINT (-122.4156752 37.7523437),2,1,29902,261,224.0,93,3,65
174356,568-31160,0,M,-,Grey,,Active,1,0,POINT (-122.418671401 37.747642),2,1,29903,261,568.0,180,2,64
180802,386-02032,2,M,-,Black,,Active,1,0,POINT (-122.396901926 37.795577805),3,1,29904,281,386.0,893,4,91
176231,360-02110,0,M,-,Grey,,Active,1,0,POINT (-122.461562901 37.783004702),2,1,29905,279,360.0,249,2,62
178623,681-07420,0,M,-,Grey,,Active,1,0,POINT (-122.411979697 37.789573298),2,1,29906,220,681.0,635,2,78
181719,411-02310,31,M,-,Grey,,Active,1,0,POINT (-122.422209302 37.775955801),3,1,29907,257,411.0,826,5,51
178602,664-16210,0,M,-,Grey,,Active,1,0,POINT (-122.4093685 37.801036701),2,1,29908,226,664.0,696,2,11
183724,605-00420,0,T,UY,Grey,,Temporarily Inactive,0,1,POINT (-122.4222052 37.774164499),2,1,29909,257,605.0,591,2,63
185246,878-00630,0,M,-,Grey,,Active,1,0,POINT (-122.399173602 37.799730197),2,1,29910,256,878.0,905,2,73
174124,411-00480,0,U,U1,-,,Unmetered,0,0,POINT (-122.418881502 37.776515399),1,1,29911,257,411.0,739,1,19
181135,401-03270,0,T,UM,Grey,,Temporarily Inactive,0,1,POINT (-122.412019903 37.784902599),2,1,29912,220,401.0,464,2,5
177696,471-00170,0,M,-,Grey,,Active,1,0,POINT (-122.389033097 37.789020601),2,1,29913,267,471.0,915,2,44
177056,561-03220,0,U,U1,Grey,,Unmetered,0,0,POINT (-122.391275402 37.788815099),2,1,29914,267,561.0,739,2,44
182969,652-16010,0,U,U1,Grey,,Unmetered,0,0,POINT (-122.438124289 37.784634955),2,1,29915,266,652.0,739,3,43
174510,323-00030,0,U,U1,-,,Unmetered,0,0,POINT (-122.4199214 37.756828298),1,1,29916,186,323.0,739,1,6
177310,542-05190,0,M,-,Grey,,Active,1,0,POINT (-122.417533401 37.782954902),2,1,29917,257,542.0,608,2,25
179632,443-04260,0,M,-,Grey,,Active,1,0,POINT (-122.423024201 37.7775261),2,1,29918,257,443.0,720,2,51
185580,891-00740,74,M,-,Purple,,Active,1,0,POINT (-122.386084802 37.769978599),3,2,29919,267,869.0,680,4,45
184381,203-05004,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.395525 37.780949),3,1,29920,267,203.0,794,4,1
174738,330-07730,0,M,-,Grey,,Active,1,0,POINT (-122.40289504 37.773176729),2,1,29921,218,330.0,631,3,3
182161,705-15410,0,M,-,Green,,Active,1,0,POINT (-122.423222802 37.796681599),2,1,29922,278,705.0,135,2,28
175525,330-03200,0,M,-,Grey,,Active,1,0,POINT (-122.392613399 37.781541998),2,1,29923,267,330.0,712,2,44
182478,401-02470,0,M,-,Black,,Active,1,0,POINT (-122.410674998 37.785069802),2,1,29924,220,401.0,464,2,5
177320,568-29330,0,M,-,Grey,,Active,1,0,POINT (-122.418110802 37.749744399),2,1,29925,261,568.0,339,2,65
184141,203-21300,30,M,-,Grey,,Active,1,0,POINT (-122.388868004 37.762336434),3,1,29926,245,203.0,158,4,90
182698,830-09050,0,M,-,Grey,,Active,1,0,POINT (-122.401489399 37.803267802),2,1,29394,256,830.0,311,2,73
181892,389-00100,0,M,-,Yellow,,Active,1,0,POINT (-122.402799222 37.769914721),2,1,29927,253,389.0,699,3,105
