route_id,collection_route_desc,collection_subroute,collection_subroute_desc,pmr_route
341,Fishermans Wharf Port,611-1,Jefferson Street | Unit - 500,Port 1
342,Stevenson St: Jessie St:,422-2,Minna-Natoma,M-2
343,,,,C-2
344,Hyde St: Unit - 1000,413-1,Hyde Unit-2100,J-4
345,Fillmore Flats: 1000 - 1500,102-53,Fillmore Flats:Post-Geary,C-3
346,Bryant St: 300-600 Stillman St,430-51,Bryant: 600,M-3
347,Larkin St: Unit - 1100,414-1,Larkin Unit-1100,E-1
348,Divisadero St: 800 - 200,130-2,Divisadero,C-1
349,Irving St at 8th Ave: Lot,M904-1,Irving at 8th Ave. Lot,A-4
350,Market St: 1600-2300 Castro St,305-3,18th St / Diamond,R-1
351,5th St: 600,M407-3,"Jessie St: 100, 300",N-3
352,4th St: Unit 400 5th St:,407-2,4th St,N-3
353,Montgomery St: 700,M-220,Montgomery St: 700,G-2
354,Fillmore Hills: 2400 -1700,101-53,Sacramento: Webster-Clay,C-4
355,California: Unit - 900 Pine St,210-2,California: Unit - 700,I-4
356,Columbus Ave: Unit - 1100,202-2,Columbus,G-4
357,5th St: 600,M407-1,"5th St St: 100, 600",N-2
358,Bush St: 100 - 900 Sutter St,209-3,Sutter: Unit - 800,I-3
