street_id,street_name,street_num,street_seg_ctrln_id,blockface_id
375.0,COLIN P KELLY JR ST,82.0,4262000.0,375002
862.0,POWELL ST,2508.0,10706000.0,862252
424.0,FRANCE AVE,4.0,5743000.0,424002
371.0,CLARENCE PL,33.0,4066000.0,371001
576.0,MISSION ROCK ST,532.0,15028000.0,576052
577.0,MISSION BAY BLVD NORTH,738.0,15021201.0,577072
578.0,MISSION BAY BLVD SOUTH,523.0,15019101.0,578051
565.0,MINNESOTA ST,1236.0,9058000.0,565122
493.0,ILLINOIS ST,1319.0,7172000.0,493131
526.0,KANSAS ST,221.0,7726000.0,526021
310.0,AMAZON AVE,4.0,2243000.0,310002
645.0,RHODE ISLAND ST,435.0,10996000.0,645041
552.0,LONG BRIDGE ST,658.0,15000000.0,552062
854.0,RICHARD HENRY DANA PL,2908.0,8275000.0,854292
351.0,CARL ST,63.0,3694000.0,351001
390.0,DUBOCE AVE,236.0,4983000.0,390022
474.0,HENRY ADAMS ST,15.0,6883000.0,474001
672.0,SENECA AVE,5.0,11757000.0,672001
707.0,VERMONT ST,211.0,13210000.0,707021
408.0,EL DORADO NORTH,12.0,15029000.0,408002
475.0,HERMANN ST,4.0,6885000.0,475002
816.0,16TH ST,303.0,15049000.0,816031
726.0,WALLER ST,3.0,13359000.0,726001
579.0,MERRIMAC ST,11.0,15007000.0,579001
409.0,EL DORADO SOUTH,3.0,15030000.0,409001
861.0,MISSION BAY BLVD SOUTH,409.0,15018101.0,861041
376.0,CAROLINA ST,306.0,3708000.0,376032
860.0,MISSION BAY BLVD NORTH,308.0,15017201.0,860032
112.0,12TH AVE,406.0,523000.0,112042
559.0,MARIPOSA ST,415.0,8712000.0,559041
311.0,AVALON AVE,2.0,2555000.0,311002
727.0,WAYLAND ST,5.0,13503000.0,727001
679.0,TENNESSEE ST,1231.0,12487000.0,679121
129.0,29TH AVE,2406.0,1626000.0,129242
136.0,36TH AVE,665.0,1792000.0,136061
0.0,,0.0,0.0,0
407.0,EGLIN PARK,63.0,8918001.0,407001
646.0,ROSE ST,240.0,11153000.0,646022
425.0,FITZGERALD AVE,1737.0,5602000.0,425171
647.0,RINCON ST,1.0,11031000.0,647001
556.0,LIBERTY ST,2.0,8321000.0,556002
436.0,HAWTHORNE ST,100.0,6810000.0,463012
872.0,UNION ST,2.0,12832000.0,872002
555.0,LILY ST,101.0,8335001.0,555011
426.0,FUNSTON AVE,403.0,5961000.0,426041
