location_id,tb_latitude,tb_longitude,police_district
372,37.76279001029998,-122.43012307600002,MISSION
373,37.77989010643395,-122.42189157160124,NORTHERN
374,37.73796978528914,-122.44250711726482,INGLESIDE
375,37.78013259770647,-122.47936805840862,RICHMOND
376,37.745430443544215,-122.42221502066975,INGLESIDE
377,37.78103257562465,-122.42041537303948,NORTHERN
378,37.724793987799984,-122.459957703,TARAVAL
379,37.7342870507545,-122.40549457151626,BAYVIEW
380,37.785101101803015,-122.44102432175414,RICHMOND
381,37.78041190087541,-122.41253244999568,SOUTHERN
382,37.71403194330001,-122.44848048199997,INGLESIDE
383,37.7772927508,-122.413366173,SOUTHERN
384,37.71027686951862,-122.45677404130862,TARAVAL
385,37.76023890161335,-122.41914732935444,MISSION
386,37.78125706186377,-122.45885866128764,RICHMOND
387,37.7743147806,-122.401606504,SOUTHERN
388,37.76419571299999,-122.433074471,MISSION
389,37.78493948834388,-122.4279859896948,NORTHERN
390,37.75066925954143,-122.40053618545214,BAYVIEW
391,37.78901097157737,-122.42542626195257,NORTHERN
392,37.71542968062313,-122.44179946539602,INGLESIDE
393,37.782010724099976,-122.485185215,RICHMOND
394,37.75982961352275,-122.42592030185148,MISSION
395,37.72140846082996,-122.39373692880092,BAYVIEW
396,37.7884994789771,-122.40677114401028,CENTRAL
397,37.775152462975015,-122.4036460793488,SOUTHERN
398,37.73786422799999,-122.50642321200002,TARAVAL
399,37.73943745875654,-122.38229586971144,BAYVIEW
400,37.75433723170602,-122.40545417158296,MISSION
401,37.78112638774286,-122.49018597826635,RICHMOND
402,37.78031366558002,-122.4126519972812,SOUTHERN
403,37.72361620933188,-122.40078474760072,BAYVIEW
404,37.76108579797963,-122.44100125970472,MISSION
405,37.78490499034336,-122.42764460739092,NORTHERN
406,37.76548980919999,-122.412416426,MISSION
407,37.7227637306,-122.43520840099998,INGLESIDE
408,37.78513053848821,-122.46350301239198,RICHMOND
409,37.7843492692832,-122.40930917933537,TENDERLOIN
410,37.76443690298344,-122.41741519630014,MISSION
411,37.80031549924664,-122.41020654420186,CENTRAL
412,37.75152682298856,-122.49563025690698,TARAVAL
413,37.7552880304,-122.389691761,BAYVIEW
414,37.782371644269226,-122.41228199298804,TENDERLOIN
415,37.7781264704584,-122.40919814184645,SOUTHERN
416,37.79340704609029,-122.39840536565248,CENTRAL
417,37.80020624877445,-122.4260012481434,NORTHERN
418,37.710650068907626,-122.47104461444223,TARAVAL
419,37.75919401040001,-122.409770121,MISSION
420,37.76357160366706,-122.41733240593864,MISSION
421,37.804782383105646,-122.40310632206996,CENTRAL
422,37.78216927062656,-122.4189932732197,NORTHERN
423,37.7979254091664,-122.42891397616334,NORTHERN
424,37.78221923755637,-122.4223694932987,NORTHERN
425,37.79750494474928,-122.40204098313508,CENTRAL
426,37.77412123057598,-122.41446535788214,SOUTHERN
427,37.801381076108974,-122.40161548352432,CENTRAL
428,37.74697783386813,-122.4445472427219,MISSION
429,37.783379232999984,-122.420982614,NORTHERN
430,37.7657525865277,-122.43127649937986,MISSION
431,37.73044904579765,-122.43653676615236,INGLESIDE
432,37.7895293177,-122.413728388,CENTRAL
433,37.78168279948134,-122.3984879131452,SOUTHERN
434,37.79955609950363,-122.4461610906293,NORTHERN
435,37.75515488898262,-122.391901128093,BAYVIEW
436,37.78115511557738,-122.41202805278373,TENDERLOIN
437,37.76226884880286,-122.46404200515572,PARK
438,37.78110964239999,-122.462136273,RICHMOND
439,37.73294878268097,-122.40465709732966,BAYVIEW
440,37.77177024990001,-122.42034436900002,SOUTHERN
441,37.787453844211456,-122.41499542345564,CENTRAL
442,37.77438465609252,-122.40151810794416,SOUTHERN
443,37.7891101763132,-122.41701687808502,CENTRAL
444,37.71490467253755,-122.4560719992414,TARAVAL
445,37.757444874257935,-122.40477912348489,MISSION
446,37.78252636165321,-122.40984403225922,SOUTHERN
447,37.78537026449999,-122.44642171,RICHMOND
448,37.774758710299984,-122.42464878,NORTHERN
449,37.7211516439,-122.391615994,BAYVIEW
450,37.7865167694,-122.414830552,CENTRAL
451,37.78538458959998,-122.416191189,TENDERLOIN
452,37.78416427971988,-122.43456473061312,NORTHERN
453,37.77721958464438,-122.4203225954386,NORTHERN
454,37.734865689246966,-122.46796331845756,TARAVAL
455,37.72864899999998,-122.43442799999995,INGLESIDE
456,37.73972349945935,-122.46699101433332,TARAVAL
457,37.7876374333,-122.39918156799996,SOUTHERN
458,37.78196180289999,-122.38839212300002,SOUTHERN
459,37.753004030872745,-122.40633623814024,MISSION
460,37.76267702249999,-122.435013675,MISSION
461,37.80015242380054,-122.4344251111291,NORTHERN
462,37.78061162279408,-122.42373098443488,NORTHERN
463,37.76252621779114,-122.39555054169185,BAYVIEW
464,37.73401387229999,-122.39096788899997,BAYVIEW
465,37.77737199559999,-122.39976258499998,SOUTHERN
466,37.78431867360696,-122.4396846785036,RICHMOND
467,37.77313894745325,-122.47176212311416,RICHMOND
468,37.786378937352,-122.39564546519902,SOUTHERN
469,37.7831014002,-122.419181704,NORTHERN
470,37.7465760314355,-122.42013034274004,INGLESIDE
471,37.785167214557525,-122.4179014096194,NORTHERN
472,37.7718856441297,-122.42339676084352,SOUTHERN
473,37.78923469920047,-122.39515093185533,SOUTHERN
474,37.79210840375334,-122.400933081912,CENTRAL
475,37.7402680884556,-122.38874315374788,BAYVIEW
476,37.78071917695728,-122.41531561536227,TENDERLOIN
477,37.7672953686024,-122.46654141062042,RICHMOND
478,37.77486350630523,-122.41925462885924,SOUTHERN
479,37.73301788079924,-122.4138407336414,INGLESIDE
480,37.75889598921961,-122.41469003039504,MISSION
481,37.72958593732066,-122.48665390982964,TARAVAL
482,37.781055889361646,-122.4088151675166,SOUTHERN
483,37.76332899333382,-122.42123069190296,MISSION
484,37.779458715347566,-122.40237749204051,SOUTHERN
485,37.764903692294986,-122.42188513512508,MISSION
486,37.71367401477916,-122.47469275598031,TARAVAL
487,37.77303605099999,-122.421941248,SOUTHERN
488,37.78245048095514,-122.43929762499036,PARK
489,37.7804828462,-122.412488611,SOUTHERN
490,37.790412744,-122.420653869,NORTHERN
491,37.748233752999965,-122.418194058,MISSION
492,37.72309445306827,-122.45253342325286,TARAVAL
493,37.7810308422,-122.420439518,NORTHERN
494,37.76853738746176,-122.41561378147644,MISSION
495,37.78656813589999,-122.46683033499998,RICHMOND
496,37.7641308703405,-122.46417202281836,PARK
497,37.78008021349999,-122.48470530699998,RICHMOND
498,37.7788848094478,-122.39279122471744,SOUTHERN
499,37.767955144054206,-122.40777322776128,MISSION
500,37.77636886939749,-122.41950629389191,NORTHERN
501,37.73422207129999,-122.411594375,INGLESIDE
502,37.72305734940001,-122.39497392299998,BAYVIEW
503,37.78470980388736,-122.4178058189917,NORTHERN
504,37.74309661433217,-122.47462382952092,TARAVAL
505,37.76952285855817,-122.47148657528724,RICHMOND
506,37.74969580875568,-122.4339290871383,MISSION
507,37.77399682025921,-122.44610433206714,PARK
508,37.753429271977325,-122.42078691211104,MISSION
509,37.720724224,-122.44660864999996,INGLESIDE
510,37.71717386889999,-122.47257245499998,TARAVAL
511,37.73243190845377,-122.3915213509336,BAYVIEW
512,37.77861715157085,-122.39089140928267,SOUTHERN
513,37.78732490397796,-122.43858157069089,RICHMOND
514,37.772526443797645,-122.41007684813611,SOUTHERN
515,37.77446832851803,-122.4343561805282,PARK
516,37.73043368275376,-122.47216229045075,TARAVAL
517,37.77872802076068,-122.47217361888796,RICHMOND
518,37.73837343037916,-122.4969934182652,TARAVAL
519,37.78608206919994,-122.41064262578551,TENDERLOIN
520,37.80612837881901,-122.40951473385891,CENTRAL
521,37.776197617381136,-122.41466983692516,SOUTHERN
522,37.79948453261455,-122.42417056423938,NORTHERN
523,37.7141302221,-122.47528561,TARAVAL
524,37.711387330118846,-122.45900546846296,TARAVAL
525,37.78121880199917,-122.4339731575878,NORTHERN
526,37.76592466277927,-122.46644249044448,TARAVAL
527,37.78740074830346,-122.44569730994014,RICHMOND
528,37.74889597151331,-122.43385110349014,MISSION
529,37.74891618959565,-122.43351299221167,MISSION
530,37.77446873363432,-122.4172849958534,SOUTHERN
531,37.75396776958177,-122.41641348869184,MISSION
532,37.78092685546275,-122.41367636064868,TENDERLOIN
533,37.767504459822106,-122.4289485666917,MISSION
534,37.76438886163064,-122.46419003810723,PARK
535,37.79842970138307,-122.40222863940132,CENTRAL
536,37.77588970333056,-122.41512795280786,SOUTHERN
537,37.7856816914194,-122.45917876605766,RICHMOND
538,37.80043238764791,-122.40163425025678,CENTRAL
539,37.77747702622359,-122.42576901755552,NORTHERN
540,37.7836804202061,-122.41458344098216,TENDERLOIN
541,37.80256181641989,-122.4450819633431,NORTHERN
542,37.77758815450983,-122.40889887147073,SOUTHERN
543,37.721637499098414,-122.3999742610816,BAYVIEW
544,37.77781524624335,-122.423165553354,NORTHERN
545,37.7809937828,-122.41314805,TENDERLOIN
546,37.786661533338126,-122.39953724326551,SOUTHERN
